
NQU,eETKws,4,zmñ   vlir   p :(  :0 dx i :) zgy
JOE,eETKws,2,hhdpf evzeoc  phg
NZA,eETKws,5,fqwnmh tkcrhteu :) 
DRU,ehkULk,2,dsxyxnuk  m 
QQC,fzVXrX,1,yfr ekih zhafx
WHU,fzVXrX,4,qlo  km d co inr
ROB,jghfQx,1,ngjf  xmq yz i :)  :( e :) ru
EDS,jñaÑoe,1,anw f  rgi g   :( e <3  :/ b
ETV,kGyNmD,2,yvi ba rñijcji
TLO,kGyNmD,2,osmñsbpxpr  xehrsx c y
RCT,kbvdrQ,3,gñ   bñnjf lxwdrm
KAJ,ktÑdZF,1,gpah ntd lrjqmbn :0 
UKR,ktÑdZF,2,dqoply r mqbze
NYB,kñCTHw,5,vzzt   m hwylbwk 
QIR,kñCTHw,1,mrxpbg jdsñ t
QAM,kñCTHw,4,gdki d abqn bz p :( 
RYZ,lUwFdf,1,vmdvl zzjp xj
IDÑ,ljpaeW,4,zuñnjns gnd   :D q :/  :) i
JQL,ljpaeW,3,fuqfd ñyñ aolhv
MUH,lsHigm,5,rceym rt iñne
ZCW,lsHigm,3,wñzcvlxrhsk ju f j
TNY,lsHigm,4,icrlñ ztmñfkuñbn :D p  :) 
MUH,lsZiFV,3,btpqvjkñ
QMO,lsZiFV,5,fñj z   ubxkfim
IKR,lsZiFV,2,pnqdlvunbvryw d a
ZCW,meigpj,3,sñh ezd espcudd
NOÑ,meigpj,2,skrc  gj ovv
UFV,mkvMEH,5,hletpjbfbl 
CYG,mkvMEH,3,gmhi in g buoit   w
VPO,mkvMEH,5,ktol  im
IKT,nvJlei,1,fhhkcffjgmrfa
RVB,nvJlei,4,iqf  gf rdxq huqdo :D  
ÑZF,oIbRDa,3,wbns  fbmwa
DEC,pPxUñf,5,rfhqe hzylfr q
KÑG,pPxUñf,2,qnmjdgriwx
QXP,pooLHO,5,xjxlgm  j kfl cypt :( oc
RTR,qZFjfL,5,iop  a k j m
FOK,qZFjfL,2,cef ignb tsgupzwxua   yy 
LKQ,qZFjfL,2,lriyadtjkdtai 
PAR,rQRKJq,1,mq sxdn jwxwh :( 
HÑC,rQRKJq,1,s byhj qn fy  
OFY,sZYKIu,4,bwolv ñtu f   :) b :/  
QQC,sZYKIu,5,sbñrgyrvnm us
VRC,tAÑOCO,4,fad ev bhp
TMA,tAÑOCO,3,bylugq tmwzfiuqs
YWÑ,tmowAc,1,kinrm vbgkxty g
PVS,tmowAc,3,mñvñc  jgd vanl :)   :p ga :0 zh
NXV,ttOxmC,5,iyh jrfdvfju
FSD,ttOxmC,3,tcnsat hci zobt
CRT,ttOxmC,2,lxusfss s gña  :0 q
ZIA,ttOxmC,1,itg nsuaual
ANU,vqgVWe,2,ckbsvujvik woj <3 oñl 
RFF,wUeOgu,5,efe sw x oñvgn 
SFX,wfVCEG,2,rttgoh sfxcnfoxfdct gtd
YGZ,wfVCEG,5,qññ  qcxcxvpñm <3 xh
AJN,wfVCEG,4,zkbadu ifxgñwz  n :/ 
OVJ,wfVCEG,3,brimigwrnibmb f k
AVS,xTWThS,2,sotñbz xxpa wc 
TOÑ,yWDIet,2,ozy arñagdep :( x 
VDL,yWDIet,3,rvs jpea tgl :/  t :/ ph :p  :/  ñw :D 
FQM,yWDIet,4,nb  iozñ  
GVS,yzkNgG,1,pfmokn b
VID,zGTRsc,4,ezñ xcvfkknw  ñm
XCX,zGTRsc,4,cyj zp  txscsur
JRU,ÑFJBSP,2,znqnja  jusyf :/ gwb :( 
IKB,ÑFJBSP,2,jñytofw
YNX,ÑUuwnz,2,fwzyl jzibntljjag :( vhz
DHÑ,ÑUuwnz,3,ñhxkid k o ojl  <3  :0 
ZMU,ÑVylXC,4,d qg  r n
EBF,ÑldWEa,3,sobu reecysxqy
TOÑ,ÑldWEa,2,lkw iycjbwhoz
ROB,ÑldWEa,1,xjufb fucpjo :( kl mm
FCD,ÑuFkfm,1,pddgoxeifqjaz
YGZ,ÑuFkfm,5,mfvryyquynwxq lu
QIR,ÑuFkfm,4,rñw m  kmhcpb
MÑF,ÑuFkfm,3,ñs hgkbx mz qth
JRU,ñcmSKA,1,kbbjsk vjz
EIS,ñcmSKA,2,u ca n qnntxñqh
XDO,ñcmSKA,2,dgkcbdq mr  jñ mpgv ñ
JYV,ñcmSKA,2,rgai b  wzp
ÑGZ,ñcmSKA,5,zee ñrsn   qjn  :p 
SFX,NExqZZ,2,yfog q slurm e
SQY,gkRqqw,2,yecmdpec  señ s
JQE,kbvdrQ,1,cqmdbnqs pg  ke fylood :( s
GTN,jghfQx,3,vigtzwfpeñyyk wv
EXM,eCpWnp,1,fsdiug  oi 
JRG,xTWThS,5,gñuyñgjgi xhjac
SWQ,tAÑOCO,5,hjtlrefptmkpea  :0 eh
HDR,ñuqxHX,3,qar  o xwk wlñ fñp
WZD,zGTRsc,5,amuvñrñf sgrnannrf  :( i
TPX,HokvSÑ,2,ñnzleb  gurdo
YXQ,nvJlei,1,gvdfdgv o
HZT,ÑFJBSP,3,yt tjpnluev   in
OFY,Znisxj,4,ppdym ei ay ñz c
IÑE,NuUmÑP,1,icbx kdgmu bchwo 
CBQ,AwlCpP,5,a sf cbyhk
ESZ,aÑMHjK,1,ge ugp d jlr  p bk
VRC,dFONrD,2,fepxwg hhhhqn :D jy
WHU,bTCCEp,4,zhuobñk ip  po t oj 
RVM,ÑFJBSP,1,ñnisw d  o lbn
EVG,FnUhdF,4,cdtqñ  gj y f  :p m
DFT,QqnBRS,1,iwcs ñc  rc h
ITZ,OgdtRZ,3,iakl jzjhbcfbk :p okh :( ys y
TOÑ,AñDnYc,4,iakvñc jnr o   :0 qa
SDU,lsHigm,2,gsxqptzekw  
QJG,wfVCEG,2,ptuhdd   iw ñq  :/ xlp :0 c ñj p  
ONÑ,ÑFJBSP,1,bhzf byow spi yl
EVG,DNbvEc,3,cez uj
YKK,RBLzGD,4,dbozwa phfw
IÑX,yWDIet,5,scrztceqz   :) ñf :) 
RTR,ZeROql,3,qwqgjkmnmfpog  lf 
LWG,kGyNmD,3,prfcñ a g ji khwreqdkdm
PBO,XtVAdD,3,ltpziioozwñdxj :) 
IKT,Okdelm,4,ogm  z  kmpvm bñ
FZT,UlMxNY,4,mei pdsdc  cmmmtnw
BQÑ,ñuqxHX,4,jwd yya x g
XCX,ÑUuwnz,5,mkrq tvwkok   ñq
YXQ,bkbBii,2,whvyqñq awrvnj
SDU,kGyNmD,3,bo  j
VWY,ñuqxHX,5,ñbne  hy  mg sk
HDX,NuUmÑP,5,fljqu mfp v o b 
PTV,tmowAc,1,bo fxyrzd o
UGW,yWDIet,5,nbunf djk
LDP,NEmjET,1,evak p vzyzkqi
DLC,KFwKKU,4,lqmxhjkkx i  g
PKÑ,bTCCEp,3,wrigwp  dn ttif
QLM,lUwFdf,4,wsd sg  eu kwtq :p  azd
NIS,JÑGCpC,4,usgs igwñjñ
WUJ,OgdtRZ,4,sski y s   wyqrr
QMQ,FdBBmW,3,wkda   wdpq
JPT,miZgCM,1,vpd  fcñ am   :/ ruv
XSF,tmowAc,5,eluxn q s qwl ore 
NSL,jñaÑoe,3,huarl xm  jñ   :) o :) s 
JAS,ErPmWx,3,fq dvrnfmqs
FKP,rQTrrx,1,qesgxnyhi n    :/   :( 
MUH,AoukqP,5,hjft k lk
HYU,ÑldWEa,5,vohean z up abgd qqe hp
ZKF,UtoIlf,5,xdmycoxy v f  g
IEF,IÑLKxM,1,ogafñpppwv
FMX,GqfSWF,1,nzn ki bsoff
YQP,JiTqpT,5,yhural y a   :D p
OIE,a,5,miikpv  pfbof
OXJ,Okdelm,1,ypxñlgfd qpp
XSF,ñcmSKA,2,rsoi act synedyf <3 rh
YBK,IÑLKxM,2,qstsv v 
BCX,mkvMEH,5,duñzñxboweuhmr
BYK,ÑldWEa,1,dgea nxañ z
FAE,meigpj,3,jaxnnep cydymb ñ
KPW,ÑldWEa,3,sc  scrb t
OWG,meigpj,3,xiq j bze
ZCL,Okdelm,1,vxwiphudi h uo  :D 
RÑS,FsTVpÑ,1,wmhwd l t 
DLC,Okdelm,5,iaaghn mlh
DNE,XYRfTU,5,we l oywuhrk ayt
YWÑ,fzVXrX,5,rrg  hl d wjvñy eñ :0 vn  
NSQ,vqgVWe,3,thriuuf   a  :0  :D 
OQD,mkvMEH,2,qpjhoxx wz 
CEÑ,AoukqP,4,dzjobj n  fc
YHD,ÑUuwnz,4,wxqcny swrpv p l k 
VUM,BWNGñP,2,rtmw  vr vzrjw :) ygbkjv
DRU,KFwKKU,3,iqwlvemovñ b
YHR,FsTVpÑ,5,aya qf yhc
ETV,qZFjfL,2,unushii  zfg
ONÑ,FsTVpÑ,4,farzg  v zzñekltw
BER,aÑMHjK,4,dnbxgt  xbr :/ cj
XBI,NExqZZ,2,uujv ztn k e acpyow
SFX,aFAfJl,5,xñbn xn wwrbu
XXB,AoukqP,5,rnrn  rds
OCF,ÑldWEa,4,otlx z  yk  t
OFY,rQRKJq,1,nqbu euxiawurolllo  :0  i
DMK,pPxUñf,1,wssngch  xchzyiñ :( ym  
OWG,tAÑOCO,4,faacrnxjjl 
WZD,ÑVylXC,2,bñu  fnf td
ÑBY,XYRfTU,5,qvg  tuñegv  m <3 
EIP,nvJlei,3,ndideuqkdñk zmkigua
FTA,ErPmWx,4,baml oumetuo okcsqqzbhjg k
QMQ,NExqZZ,2,bcñwmjr  hln <3 ozyr
TFP,XYRfTU,1,jxwifw  v
OAP,rQRKJq,3,ij z ñeña nldo liau
XBI,aÑMHjK,3,jdysovq  
SFT,WsSpUj,3,z v qm ixsñ
QIR,Znisxj,4,tyt fpr apnj
LDW,rQTrrx,5,gztr djvwlpz
OAW,NExqZZ,2,pmn n dbdbeimdnf :0 
TKZ,wfVCEG,1,yy oek i iwrtkewñj :( og ffjwc 
NCA,MLIdoV,2,yd   fhmdwolmcs
VMF,GqfSWF,1,lmiq uob vsj  qykh a  :/ x g
XXM,gkRqqw,4,wkvweejbj  jsjqi  ug v
IAN,zGTRsc,2,ñtñ testnf
KOJ,HokvSÑ,3,hjn j b g eñ e :/ x
CXB,SZVXna,4,mpsrecn e ña
SWM,ÑuFkfm,2,cw vijdcqw  
ARK,miZgCM,1,oyvxob xizn
PSN,mkvMEH,3,hohs  be  wñq    q
HYU,IwSeÑn,5,qzkljk   qwñzgjw  :) h  xy
USO,GqfSWF,4,ffu d oz  :D eb pngyjv
VYY,yWDIet,1,yheqgketfsoo jjzr
YGZ,DsTNut,5,dñvv  ñp japddl :/ 
EXI,aÑMHjK,2,yzj ez r w orl
RFF,ErPmWx,1,pwtebvnblv
RÑS,UKEgTt,4,jgñda wfom w :D cx
OTP,JiTqpT,2,tzjñqxr fo nb
JAS,lsZiFV,3,wxftbmmqññqsbmoe :) fi b :(  
MNB,ehkULk,3,qujusqñ ñ uñ a
FTL,XYRfTU,2,igxjx g pdñ
TOÑ,zGTRsc,5,qtdcut ruxjm y
YAG,UKEgTt,5,wñf  gjtqñ zlk
SWM,kGyNmD,1,phw vof tue   tz
PPH,ZeROql,2,zz uñrf fñfx  n
CYG,SZVXna,3,flmh gywpdpa hp
QZM,wUeOgu,2,rdnpqñgyw m :p cb :p a r z :/ olj
DUE,pPxUñf,1,qnn htqu   
EXM,zbYbSD,2,cze lmi  fh
DEN,gkRqqw,1,pwx p tvlhi 
ONI,WsSpUj,2,xlxñ v  wmddl
SIJ,lUwFdf,1,ñocñ ojy
KBP,kbvdrQ,5,acohqypvlmgu vbbi e vex
EBS,FsTVpÑ,1,vgñql  yj b  :D wmn :0  rox z
PUX,UñTbMP,3,ñsrgs foffj
JQE,IwSeÑn,4,acnk ñ di
YYK,miZgCM,2,kojt akd y    jk
UOZ,ñcmSKA,2,ufydroq anq
TEJ,HokvSÑ,2,twuizj l vnunhuñ 
CDÑ,oIbRDa,5,qjouw  ñ jcvcy :) 
CXB,XtewNu,3,aa uuv c lsñpvl xw  :D 
TLO,HokvSÑ,5,nnxn c  noccd   gñq
PQT,RBLzGD,2,bvtbbgsegrt c hmgks
IKB,Okdelm,3,ñceyl   vz mgxrkhsmp
WZD,BmeHbO,4,cdgt vse vovve
MYR,mkvMEH,3,onqxzz xldeikvy 
ÑJB,qZFjfL,2,vkor bmyw nsf :D h
QIR,sZYKIu,4,aqorbt  sodta s
PZS,rQRKJq,1,rexxafhempljts
OVE,EKtsco,5,vmnlcdng bh f 
YHR,CCwFaA,3,aya pv u sxhgi bfy :0 
QZM,NuUmÑP,2,fnhox lfjjjk  a :p zj
JOJ,UñTbMP,5,ñbjrpt f qiñi :0 p
QAR,HokvSÑ,1,gpat  anv dx l bo
VZO,sTpAqr,4,wyidkixp m  
YDJ,oIbRDa,2,ojgdc grv vo n :D 
JOÑ,NExqZZ,1,wtqd  qeez 
SQK,LfHmeQ,2,rxmuwo hbptu y
ITZ,sZYKIu,4,rbgoñoogueq
QRD,FsTVpÑ,1,ufkfyptdwj
LTN,UlMxNY,4,txogho tñi  fdc
WNK,XtewNu,2,y pb h  a  
TLO,ljpaeW,2,yklurlwl  v  z :) a
WUJ,ljpaeW,5,dkqe c y a
RVM,mCgMyO,3,vlia n ypñrjdj  g
FKP,AñDnYc,3,wsph   sf
DAV,eCpWnp,5,jbsnryd uinsr
OJT,UñTbMP,3,regrlgumzqvybv :0 jñow <3  k yb 
GGL,VWyKBV,2,xdkn  n ux
XCF,nvJlei,3,ad  ceqr  fs pm ucv
TKZ,LfHmeQ,2,eh zo bntcpvv
CCK,bkbBii,4,ap p recl kcrq :D  
RYZ,bTCCEp,4,zqax zxh z fzsn
MIR,miZgCM,2,ñ geuñoe b dwp   <3 j t
VMF,EKtsco,3,fyybm  wvs
VBC,DsTNut,3,spkwl kq dwd vef :( bn 
MRT,wfVCEG,5,bwyirt q ctrfqx <3 a 
ZIA,Okdelm,2,iesw vmyqu eeaqm
ÑST,NuUmÑP,1,sb vo   a i
ZMU,miZgCM,2,virmwnvw mq
MNG,yzkNgG,4,azwmj qnxe
IAN,fzVXrX,3,cd señsa
QJG,HokvSÑ,1,su mi s kr iajpw
FSK,XtewNu,5,o o m   ve sslp :) l
MRP,dFONrD,3,et ubgojxywig <3   g bxjo
RDX,FsTVpÑ,5,hhvio c ja   :)  qytp
JAS,GqfSWF,4,mxgq fvbk ffck ms  :D x <3 gg 
ISQ,ÑuFkfm,1,qbdk  hp oziz  :/ qa
VRC,ÑldWEa,3,qhwjd msckf
EXD,miZgCM,3,erfx kz xht
SIJ,SZVXna,1,uoncq u 
QKI,DNbvEc,3,chmsytbnñeksyamfclyk
ARK,zbYbSD,5,dygpbcvvsb yc <3  :)  :D  lo
SDU,XtewNu,3,errv q b  
GVS,ÑldWEa,2,mhm ñcg minkg ifñ
IKR,yWDIet,5,cg jg s cj  q 
EFV,UtoIlf,3,llvcgfd  ozbw   l
